Type,Nation ID,Nation,Star Rating,Minimum Budget,# Clubs,,,,,,,,,Timezone
,,,,,European,North American,South American,ROW,Local,Continental,Qualify Prize,Group Prize,Final Prize,
0,14,England,4.5,15000000,6,0,0,0,3,0,500000,925000,1075000,0
0,18,France,4.5,15000000,10,0,0,0,2,0,500000,925000,1000000,1
0,27,Italy,4.5,15000000,8,0,0,0,3,0,500000,800000,1000000,1
0,45,Spain,4.5,15000000,8,0,0,0,3,0,500000,875000,1000000,1
0,21,Germany,4.5,15000000,10,0,0,0,2,0,500000,875000,1075000,1
0,83,Mexico,4.5,15000000,6,0,2,0,2,1,500000,750000,875000,-6
0,54,Brazil,4.5,15000000,7,0,1,0,2,1,625000,875000,1050000,-3
0,52,Argentina,4.5,15000000,7,0,1,0,2,1,625000,875000,1000000,-3
0,183,Saudi Arabia,5,20000000,7,0,0,0,2,0,750000,875000,1250000,3
0,167,Korea,5,20000000,7,0,0,1,2,0,750000,875000,1000000,9
0,195,Australia,5,20000000,7,0,0,1,2,0,750000,875000,1125000,10
0,95,U.S. (MLS),5,20000000,7,0,1,0,2,0,775000,1050000,1300000,-6
0,163,Japan,5,20000000,7,0,0,1,2,0,750000,1000000,1250000,9
0,155,China,5,20000000,7,0,0,1,2,0,750000,1025000,1300000,8
1,83,Mexico,2.5,0,0,0,2,0,4,4,87500,125000,150000,-6
1,95,U.S. (MLS),2.5,2500000,0,0,3,0,4,2,150000,225000,312500,-6
1,52,Argentina,2,1000000,0,0,0,0,4,4,125000,162500,175000,-3
1,52,Argentina,2,0,0,0,0,0,3,5,85000,120000,137500,-3
1,54,Brazil,2,0,0,0,0,0,3,5,87500,125000,150000,-3
1,54,Brazil,2,1000000,0,0,0,0,4,4,125000,150000,187500,-3
1,183,Saudi Arabia,1,0,0,0,0,0,3,5,95000,130000,150000,3
1,195,Australia,1,0,0,0,0,0,3,5,100000,150000,250000,10
1,167,Korea,2,2000000,0,0,0,0,3,5,125000,187500,300000,9
1,163,Japan,2,0,0,0,0,0,3,5,125000,150000,175000,9
1,155,China,2,0,0,0,0,0,3,5,125000,175000,200000,8
1,14,England,4,8000000,0,0,0,0,3,6,325000,750000,925000,0
1,34,Netherlands,4,8000000,0,0,0,0,2,6,375000,625000,825000,1
1,38,Portugal,4,8000000,0,0,0,0,2,6,325000,750000,825000,0
1,21,Germany,4,8000000,0,0,0,0,3,6,325000,750000,875000,1
1,47,Switzerland,3.5,3000000,0,0,0,0,2,6,200000,350000,450000,1
1,18,France,3.5,3000000,0,0,0,0,3,6,212500,375000,462500,1
1,27,Italy,3.5,5000000,0,0,0,0,3,6,300000,400000,625000,1
1,45,Spain,3.5,4000000,0,0,0,0,3,6,312500,375000,500000,1
1,7,Belgium,3.5,5000000,0,0,0,0,2,6,300000,400000,550000,1
1,4,Austria,3,3000000,0,0,0,0,2,6,200000,250000,375000,1
1,13,Denmark,3,3000000,0,0,0,0,2,6,200000,300000,400000,1
1,36,Norway,3,3000000,0,0,0,0,2,6,200000,325000,425000,1
1,14,England,3,1000000,0,0,0,0,3,6,182500,230000,337500,0
1,46,Sweden,3,1000000,0,0,0,0,2,6,175000,212500,325000,1
1,48,Turkey,3,1000000,0,0,0,0,4,6,157500,205000,312500,3
1,34,Netherlands,2.5,1000000,0,0,0,0,3,6,137500,200000,300000,1
1,27,Italy,2.5,1000000,0,0,0,0,4,6,120000,170000,260000,1
1,21,Germany,2.5,1000000,0,0,0,0,4,6,130000,182500,275000,1
1,7,Belgium,2.5,1000000,0,0,0,0,3,6,135000,187500,287500,1
1,45,Spain,2,0,0,0,0,0,4,6,95000,145000,175000,1
1,47,Switzerland,2,1000000,0,0,0,0,3,6,112500,162500,200000,1
1,4,Austria,2,0,0,0,0,0,3,6,107500,150000,180000,1
1,18,France,2,1000000,0,0,0,0,4,6,112500,162500,250000,1
1,38,Portugal,1.5,0,0,0,0,0,3,6,75000,112500,137500,0
1,48,Turkey,1.5,0,0,0,0,0,3,6,82500,117500,145000,3
1,13,Denmark,1.5,0,0,0,0,0,3,6,87500,125000,150000,1
1,27,Italy,1.5,0,0,0,0,0,4,4,100000,137500,150000,1
1,21,Germany,1,0,0,0,0,0,3,6,75000,112500,125000,1
1,34,Netherlands,1,0,0,0,0,0,3,6,75000,100000,125000,1
1,46,Sweden,1,0,0,0,0,0,3,6,60000,90000,112500,1
1,4,Austria,1,0,0,0,0,0,3,6,70000,95000,122500,1
1,25,Republic of Ireland,0.5,0,0,0,0,0,4,4,57500,87500,100000,0
1,45,Spain,0.5,0,0,0,0,0,4,6,60000,85000,95000,1
1,14,England,0.5,0,0,0,0,0,6,10,57500,82500,92500,0
2,95,U.S. (MLS),2,0,0,0,0,0,6,2,75000,112500,137500,-6
2,95,U.S. (MLS),2,0,0,0,0,0,6,2,82500,117500,145000,-6
2,83,Mexico,2.5,2500000,0,0,0,0,4,4,125000,175000,287500,-6
2,83,Mexico,2.5,2500000,0,0,0,0,4,4,125000,187500,312500,-6
2,14,England,2,0,0,0,0,0,20,0,100000,150000,250000,0
2,52,Argentina,1.5,0,0,0,0,0,5,3,57500,87500,100000,-3
2,52,Argentina,1.5,0,0,0,0,0,4,4,60000,85000,95000,-3
2,52,Argentina,1.5,0,0,0,0,0,6,2,57500,82500,92500,-3
2,54,Brazil,2,0,0,0,0,0,3,5,57500,87500,100000,-3
2,54,Brazil,2,0,0,0,0,0,4,4,60000,85000,95000,-3
2,54,Brazil,2,0,0,0,0,0,4,4,57500,82500,92500,-3
2,163,Japan,2,0,0,0,0,0,3,5,125000,175000,287500,9
2,163,Japan,2,0,0,0,0,0,3,5,112500,162500,275000,9
2,183,Saudi Arabia,1,0,0,0,0,0,3,5,125000,175000,287500,3
2,183,Saudi Arabia,1,0,0,0,0,0,3,5,112500,162500,275000,3
2,195,Australia,1,0,0,0,0,0,3,5,75000,112500,137500,10
2,195,Australia,1,0,0,0,0,0,3,5,82500,117500,145000,10
2,167,Korea,1,0,0,0,0,0,3,5,87500,137500,175000,9
2,167,Korea,1,0,0,0,0,0,3,5,100000,150000,187500,9
2,155,China,1,0,0,0,0,0,3,5,125000,187500,312500,8
2,155,China,1,0,0,0,0,0,3,5,125000,175000,275000,8
2,*,Any,0.5,0,0,0,0,0,3,6,45000,80000,87500,0
2,*,Any,0.5,0,0,0,0,0,3,6,47500,80000,90000,0
2,*,Any,0.5,0,0,0,0,0,3,6,47500,77500,82500,0
