leave empty lines and descriptions rows unchanged - they determine the end of the table,,,,,,,,,,,,,,,,,
modifier based on attribute category and age (percent: -1000 .. 1000),,,,,,,,,,,,,,,,,
age,physical increase,mental increase,technical increase,physical decline,mental decline,technical decline,weak foot,skill move,attacking workrate,defending workrate,,,,,,,
16,95,95,95,15,5,20,100,100,100,100,,,,,,,
21,75,75,75,20,5,20,100,100,100,100,,,,,,,
24,60,75,75,25,5,20,90,90,90,90,,,,,,,
27,65,90,90,30,5,20,75,75,75,75,,,,,,,
30,80,95,100,5,5,5,60,60,60,60,,,,,,,
33,70,85,90,10,5,10,40,40,40,40,,,,,,,
36,55,70,80,50,15,25,30,30,30,30,,,,,,,
40,40,50,60,100,35,50,25,25,25,25,,,,,,,
,,,,,,,,,,,,,,,,,
modifier based on attribute type (percent: 0 .. 250),,,,,,,,,,,,,,,,,
type,modifier,,,,,,,,,,,,,,,,
primary,100,,,,,,,,,,,,,,,,
secondary,80,,,,,,,,,,,,,,,,
tertiary,50,,,,,,,,,,,,,,,,
at cap,20,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
modifier applied to the one below for weak foot based on position side and player strong foot (percent: 0 .. 100),,,,,,,,,,,,,,,,,
position side,Left Strong Foot,Right Strong Foot,,,,,,,,,,,,,,,
Left,80,100,,,,,,,,,,,,,,,
Right,100,80,,,,,,,,,,,,,,,
Neutral,90,90,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
modifier applied for miscellaneous attributes based on position (percent: 0 .. 250),,,,,,,,,,,,,,,,,
weak foot,skill moves,attacking work rate,defending work rate,positions,,,,,,,,,,,,,
0,0,0,0,0,1,4,6,9,11,13,15,17,19,20,22,24,26
40,40,40,100,5,,,,,,,,,,,,,
60,60,60,90,7,3,2,8,,,,,,,,,,
100,90,75,75,14,10,,,,,,,,,,,,
90,100,90,60,16,12,27,23,18,,,,,,,,,
75,90,100,40,21,25,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PLAYER_POSITION_GK = 0,,,,,,,,,,,,,,,,,
PLAYER_POSITION_SW = 1,,,,,,,,,,,,,,,,,
PLAYER_POSITION_RWB = 2,,,,,,,,,,,,,,,,,
PLAYER_POSITION_RB = 3,,,,,,,,,,,,,,,,,
PLAYER_POSITION_RCB = 4,,,,,,,,,,,,,,,,,
PLAYER_POSITION_CB = 5,,,,,,,,,,,,,,,,,
PLAYER_POSITION_LCB = 6,,,,,,,,,,,,,,,,,
PLAYER_POSITION_LB = 7,,,,,,,,,,,,,,,,,
PLAYER_POSITION_LWB = 8,,,,,,,,,,,,,,,,,
PLAYER_POSITION_RDM = 9,,,,,,,,,,,,,,,,,
PLAYER_POSITION_CDM = 10,,,,,,,,,,,,,,,,,
PLAYER_POSITION_LDM = 11,,,,,,,,,,,,,,,,,
PLAYER_POSITION_RM = 12,,,,,,,,,,,,,,,,,
PLAYER_POSITION_RCM = 13,,,,,,,,,,,,,,,,,
PLAYER_POSITION_CM = 14,,,,,,,,,,,,,,,,,
PLAYER_POSITION_LCM = 15,,,,,,,,,,,,,,,,,
PLAYER_POSITION_LM = 16,,,,,,,,,,,,,,,,,
PLAYER_POSITION_RAM = 17,,,,,,,,,,,,,,,,,
PLAYER_POSITION_CAM = 18,,,,,,,,,,,,,,,,,
PLAYER_POSITION_LAM = 19,,,,,,,,,,,,,,,,,
PLAYER_POSITION_RF = 20,,,,,,,,,,,,,,,,,
PLAYER_POSITION_CF = 21,,,,,,,,,,,,,,,,,
PLAYER_POSITION_LF = 22,,,,,,,,,,,,,,,,,
PLAYER_POSITION_RW = 23,,,,,,,,,,,,,,,,,
PLAYER_POSITION_RS = 24,,,,,,,,,,,,,,,,,
PLAYER_POSITION_ST = 25,,,,,,,,,,,,,,,,,
PLAYER_POSITION_LS = 26,,,,,,,,,,,,,,,,,
PLAYER_POSITION_LW = 27,,,,,,,,,,,,,,,,,
